label,precision,recall,f1,support
Politics & Government,0.9130434782608695,0.6774193548387096,0.7777777777777778,31
Crime & Public Safety,0.92,0.8846153846153846,0.9019607843137255,26
Economy & Business,0.8,0.9090909090909091,0.851063829787234,22
Education,0.8947368421052632,0.85,0.8717948717948718,20
Health,0.8947368421052632,0.8095238095238095,0.85,21
Environment & Weather,1.0,0.8095238095238095,0.8947368421052632,21
Transportation,0.9047619047619048,0.95,0.926829268292683,20
Housing,0.9090909090909091,1.0,0.9523809523809523,20
"Lifestyle, Arts & Entertainment",0.8409090909090909,0.8222222222222222,0.8314606741573034,45
Sports,1.0,0.9411764705882353,0.9696969696969697,34
Science & Technology,0.71875,0.9583333333333334,0.8214285714285714,24
Other,0.7428571428571429,0.8666666666666667,0.8,30
